"","id","date","tavg"
"1","RSM00034123",2007-01-01,9
"2","RSM00034123",2007-01-02,16
"3","RSM00034123",2007-01-03,15
"4","RSM00034123",2007-01-04,3
"5","RSM00034123",2007-01-05,-7
"6","RSM00034123",2007-01-06,-15
"7","RSM00034123",2007-01-07,5
"8","RSM00034123",2007-01-08,10
"9","RSM00034123",2007-01-09,12
"10","RSM00034123",2007-01-10,17
"11","RSM00034123",2007-01-11,42
"12","RSM00034123",2007-01-12,42
"13","RSM00034123",2007-01-13,46
"14","RSM00034123",2007-01-14,25
"15","RSM00034123",2007-01-15,22
"16","RSM00034123",2007-01-16,10
"17","RSM00034123",2007-01-17,14
"18","RSM00034123",2007-01-18,24
"19","RSM00034123",2007-01-19,39
"20","RSM00034123",2007-01-20,31
"21","RSM00034123",2007-01-21,6
"22","RSM00034123",2007-01-22,24
"23","RSM00034123",2007-01-23,27
"24","RSM00034123",2007-01-24,-1
"25","RSM00034123",2007-01-25,34
"26","RSM00034123",2007-01-26,-26
"27","RSM00034123",2007-01-27,-52
"28","RSM00034123",2007-01-28,-38
"29","RSM00034123",2007-01-29,-84
"30","RSM00034123",2007-01-30,-98
"31","RSM00034123",2007-01-31,-127
"32","RSM00034123",2007-02-01,-112
"33","RSM00034123",2007-02-02,-93
"34","RSM00034123",2007-02-03,-156
"35","RSM00034123",2007-02-04,-149
"36","RSM00034123",2007-02-05,-83
"37","RSM00034123",2007-02-06,-29
"38","RSM00034123",2007-02-07,-14
"39","RSM00034123",2007-02-08,-42
"40","RSM00034123",2007-02-09,-90
"41","RSM00034123",2007-02-10,23
"42","RSM00034123",2007-02-11,-26
"43","RSM00034123",2007-02-12,-86
"44","RSM00034123",2007-02-13,-15
"45","RSM00034123",2007-02-14,23
"46","RSM00034123",2007-02-15,24
"47","RSM00034123",2007-02-16,-15
"48","RSM00034123",2007-02-17,-88
"49","RSM00034123",2007-02-18,-86
"50","RSM00034123",2007-02-19,-33
"51","RSM00034123",2007-02-20,-24
"52","RSM00034123",2007-02-21,-63
"53","RSM00034123",2007-02-22,-168
"54","RSM00034123",2007-02-23,-200
"55","RSM00034123",2007-02-24,-162
"56","RSM00034123",2007-02-25,-116
"57","RSM00034123",2007-02-26,-132
"58","RSM00034123",2007-02-27,-124
"59","RSM00034123",2007-02-28,-80
"60","RSM00034123",2007-03-01,-18
"61","RSM00034123",2007-03-02,2
"62","RSM00034123",2007-03-03,24
"63","RSM00034123",2007-03-04,15
"64","RSM00034123",2007-03-05,11
"65","RSM00034123",2007-03-06,20
"66","RSM00034123",2007-03-07,12
"67","RSM00034123",2007-03-08,5
"68","RSM00034123",2007-03-09,9
"69","RSM00034123",2007-03-10,20
"70","RSM00034123",2007-03-11,35
"71","RSM00034123",2007-03-12,27
"72","RSM00034123",2007-03-13,17
"73","RSM00034123",2007-03-14,31
"74","RSM00034123",2007-03-15,46
